board_size,num_colors,density,run_id,ga_success,ga_time,ga_generations,ga_fitness_evals,ga_generations_to_solution,final_fitness,bt_used,bt_time,bt_success,total_time,solved
4,4,0.2500,0,True,0.0328,2,400,2,12758.6000,False,0.0000,False,0.0328,True
4,4,0.2500,1,True,0.0165,1,200,1,12749.0000,False,0.0000,False,0.0165,True
4,4,0.2500,2,True,0.0332,2,400,2,12758.2000,False,0.0000,False,0.0332,True
4,4,0.2500,3,True,0.0322,2,400,2,12758.2000,False,0.0000,False,0.0322,True
4,4,0.2500,4,True,0.0168,1,200,1,12763.2000,False,0.0000,False,0.0168,True
4,4,0.2500,5,True,0.1297,8,1600,8,12772.8000,False,0.0000,False,0.1297,True
4,4,0.2500,6,True,0.0647,4,800,4,12763.2000,False,0.0000,False,0.0647,True
4,4,0.2500,7,True,0.0504,3,600,3,12768.2000,False,0.0000,False,0.0504,True
4,4,0.2500,8,True,0.0661,4,800,4,12763.2000,False,0.0000,False,0.0661,True
4,4,0.2500,9,True,0.0165,1,200,1,12754.0000,False,0.0000,False,0.0165,True
4,5,0.3125,0,True,0.0654,4,800,4,15972.4000,False,0.0000,False,0.0654,True
4,5,0.3125,1,True,0.1012,6,1200,6,15972.4000,False,0.0000,False,0.1012,True
4,5,0.3125,2,True,0.0688,4,800,4,15972.4000,False,0.0000,False,0.0688,True
4,5,0.3125,3,True,0.0202,1,200,1,15967.8000,False,0.0000,False,0.0202,True
4,5,0.3125,4,True,0.0333,2,400,2,15962.8000,False,0.0000,False,0.0333,True
4,5,0.3125,5,True,0.0330,2,400,2,15972.4000,False,0.0000,False,0.0330,True
4,5,0.3125,6,True,0.0511,3,600,3,15967.8000,False,0.0000,False,0.0511,True
4,5,0.3125,7,True,0.0820,5,1000,5,15972.4000,False,0.0000,False,0.0820,True
4,5,0.3125,8,True,0.0349,2,400,2,15962.8000,False,0.0000,False,0.0349,True
4,5,0.3125,9,True,0.0851,5,1000,5,15972.4000,False,0.0000,False,0.0851,True
4,6,0.3750,0,True,0.0344,2,400,2,19172.0000,False,0.0000,False,0.0344,True
4,6,0.3750,1,True,0.0333,2,400,2,19167.4000,False,0.0000,False,0.0333,True
4,6,0.3750,2,True,0.0509,3,600,3,19172.0000,False,0.0000,False,0.0509,True
4,6,0.3750,3,True,0.0650,4,800,4,19167.4000,False,0.0000,False,0.0650,True
4,6,0.3750,4,True,0.0512,3,600,3,19172.0000,False,0.0000,False,0.0512,True
4,6,0.3750,5,True,0.0348,2,400,2,19172.0000,False,0.0000,False,0.0348,True
4,6,0.3750,6,True,0.0491,3,600,3,19172.0000,False,0.0000,False,0.0491,True
4,6,0.3750,7,True,0.0504,3,600,3,19172.0000,False,0.0000,False,0.0504,True
4,6,0.3750,8,True,0.0343,2,400,2,19172.0000,False,0.0000,False,0.0343,True
4,6,0.3750,9,True,0.0650,4,800,4,19172.0000,False,0.0000,False,0.0650,True
5,7,0.2800,0,True,0.0474,2,400,2,19143.8000,False,0.0000,False,0.0474,True
5,7,0.2800,1,True,0.0479,2,400,2,19142.6000,False,0.0000,False,0.0479,True
5,7,0.2800,2,True,0.0953,4,800,4,19138.8000,False,0.0000,False,0.0953,True
5,7,0.2800,3,True,0.0701,3,600,3,19134.2000,False,0.0000,False,0.0701,True
5,7,0.2800,4,True,0.1168,5,1000,5,19138.8000,False,0.0000,False,0.1168,True
5,7,0.2800,5,True,0.0254,1,200,1,19124.6000,False,0.0000,False,0.0254,True
5,7,0.2800,6,True,0.0488,2,400,2,19143.4000,False,0.0000,False,0.0488,True
5,7,0.2800,7,True,0.0461,2,400,2,19138.8000,False,0.0000,False,0.0461,True
5,7,0.2800,8,True,0.0478,2,400,2,19143.4000,False,0.0000,False,0.0478,True
5,7,0.2800,9,True,0.0463,2,400,2,19143.4000,False,0.0000,False,0.0463,True
5,8,0.3200,0,True,0.0474,2,400,2,19138.8000,False,0.0000,False,0.0474,True
5,8,0.3200,1,True,0.0247,1,200,1,19133.8000,False,0.0000,False,0.0247,True
5,8,0.3200,2,True,0.0477,2,400,2,19138.8000,False,0.0000,False,0.0477,True
5,8,0.3200,3,True,0.0691,3,600,3,19138.8000,False,0.0000,False,0.0691,True
5,8,0.3200,4,True,0.0951,4,800,4,19138.8000,False,0.0000,False,0.0951,True
5,8,0.3200,5,True,0.0469,2,400,2,19138.8000,False,0.0000,False,0.0469,True
5,8,0.3200,6,True,0.0473,2,400,2,19143.4000,False,0.0000,False,0.0473,True
5,8,0.3200,7,True,0.1403,6,1200,6,19143.4000,False,0.0000,False,0.1403,True
5,8,0.3200,8,True,0.0249,1,200,1,19138.8000,False,0.0000,False,0.0249,True
5,8,0.3200,9,True,0.0921,4,800,4,19138.8000,False,0.0000,False,0.0921,True
5,9,0.3600,0,True,0.0491,2,400,2,19133.8000,False,0.0000,False,0.0491,True
5,9,0.3600,1,True,0.0939,4,800,4,19133.0000,False,0.0000,False,0.0939,True
5,9,0.3600,2,True,0.0482,2,400,2,19133.8000,False,0.0000,False,0.0482,True
5,9,0.3600,3,True,0.1173,5,1000,5,19133.0000,False,0.0000,False,0.1173,True
5,9,0.3600,4,True,0.0243,1,200,1,19133.8000,False,0.0000,False,0.0243,True
5,9,0.3600,5,True,0.0249,1,200,1,19129.6000,False,0.0000,False,0.0249,True
5,9,0.3600,6,True,0.1166,5,1000,5,19133.4000,False,0.0000,False,0.1166,True
5,9,0.3600,7,True,0.0917,4,800,4,19133.8000,False,0.0000,False,0.0917,True
5,9,0.3600,8,True,0.0735,3,600,3,19133.0000,False,0.0000,False,0.0735,True
5,9,0.3600,9,True,0.0467,2,400,2,19133.8000,False,0.0000,False,0.0467,True
6,10,0.2778,0,True,0.1901,6,1200,6,19075.4000,False,0.0000,False,0.1901,True
6,10,0.2778,1,True,0.1875,6,1200,6,19085.8000,False,0.0000,False,0.1875,True
6,10,0.2778,2,True,0.1881,6,1200,6,18112.2000,False,0.0000,False,0.1881,True
