board_size,num_colors,density,pop_size,generations,runs_total,success_count,success_rate,avg_time,min_time,max_time,avg_fitness,avg_gens,perfect_found
3,2,0.222,100,500,91,91,100.0,0.0,0.0,0.009,16107.0,2,YES
4,3,0.188,150,1000,64,64,100.0,0.0,0.0,0.006,20141.0,2,YES
5,4,0.16,200,1500,33,33,100.0,0.0,0.0,0.022,24164.0,5,YES
5,5,0.2,250,2000,9,9,100.0,0.0,0.0,0.018,28285.0,6,YES
6,5,0.139,300,2500,17,17,100.0,0.02,0.001,0.294,28187.0,31,YES
6,6,0.167,350,3000,6,6,100.0,0.04,0.001,0.176,32133.0,41,YES
7,6,0.122,400,3500,11,11,100.0,0.01,0.001,0.021,32166.0,6,YES
7,7,0.143,500,4500,2,2,100.0,0.02,0.006,0.026,36155.0,15,YES
8,8,0.125,600,5000,2,2,100.0,0.08,0.014,0.145,40298.0,43,YES
6,8,0.222,450,4000,0,0,0.0,0.0,0.0,0.0,0.0,0,NO
7,8,0.163,600,5000,0,0,0.0,0.0,0.0,0.0,0.0,0,NO
8,10,0.156,800,6000,0,0,0.0,0.0,0.0,0.0,0.0,0,NO
