board_size,num_colors,num_cells,run_number,ga_success,ga_time,ga_generations,ga_fitness_evals,ga_generations_to_solution,ga_convergence_generation,ga_diversity_loss,bt_used,bt_time,total_time,final_fitness
4,4,16,1,True,0.0326,2,400,2,,-0.0090,False,0.0000,0.0326,12763.20
4,4,16,2,True,0.0648,4,800,4,,-0.0620,False,0.0000,0.0648,12772.80
4,4,16,3,True,0.0168,1,200,1,,0.0000,False,0.0000,0.0168,12758.20
4,4,16,4,True,0.0477,3,600,3,,-0.0360,False,0.0000,0.0477,12767.80
4,4,16,5,True,0.0807,5,1000,5,,-0.0490,False,0.0000,0.0807,12763.20
4,4,16,6,True,0.0321,2,400,2,,-0.0140,False,0.0000,0.0321,12758.20
4,4,16,7,True,0.0967,6,1200,6,,-0.0610,False,0.0000,0.0967,12772.80
4,4,16,8,True,0.0161,1,200,1,,0.0000,False,0.0000,0.0161,12758.20
4,4,16,9,True,0.0998,6,1200,6,,-0.0850,False,0.0000,0.0998,12772.80
4,4,16,10,True,0.0324,2,400,2,,-0.0170,False,0.0000,0.0324,12767.80
4,4,16,11,True,0.0327,2,400,2,,-0.0180,False,0.0000,0.0327,12758.20
4,4,16,12,True,0.0339,2,400,2,,-0.0160,False,0.0000,0.0339,12768.20
4,4,16,13,True,0.0862,5,1000,5,,-0.0650,False,0.0000,0.0862,12772.80
4,4,16,14,True,0.0167,1,200,1,,0.0000,False,0.0000,0.0167,12763.20
4,4,16,15,True,0.0193,1,200,1,,0.0000,False,0.0000,0.0193,12768.20
5,5,25,1,True,0.0743,3,600,3,,-0.0140,False,0.0000,0.0743,15930.40
5,5,25,2,True,0.1447,6,1200,6,,-0.0780,False,0.0000,0.1447,15948.40
5,5,25,3,True,0.0261,1,200,1,,0.0000,False,0.0000,0.0261,15934.60
5,5,25,4,True,0.1460,6,1200,6,,-0.0510,False,0.0000,0.1460,15934.60
5,5,25,5,True,0.0944,4,800,4,,-0.0640,False,0.0000,0.0944,15934.60
5,5,25,6,True,0.0244,1,200,1,,0.0000,False,0.0000,0.0244,15934.60
5,5,25,7,True,0.0969,4,800,4,,-0.0350,False,0.0000,0.0969,15940.00
5,5,25,8,True,0.0476,2,400,2,,-0.0110,False,0.0000,0.0476,15930.00
5,5,25,9,True,0.1847,8,1600,8,,-0.0430,False,0.0000,0.1847,15958.00
5,5,25,10,True,0.0477,2,400,2,,-0.0130,False,0.0000,0.0477,15928.80
5,5,25,11,True,0.0518,2,400,2,,-0.0100,False,0.0000,0.0518,15935.00
5,5,25,12,True,0.1645,7,1400,7,,-0.0900,False,0.0000,0.1645,15943.40
5,5,25,13,True,0.0468,2,400,2,,-0.0130,False,0.0000,0.0468,15935.00
5,5,25,14,True,0.1167,5,1000,5,,-0.0850,False,0.0000,0.1167,15948.00
5,5,25,15,True,0.0238,1,200,1,,0.0000,False,0.0000,0.0238,15914.60
6,6,36,1,True,0.3550,11,2200,11,,-0.0650,False,0.0000,0.3550,19107.00
6,6,36,2,True,0.0942,3,600,3,,-0.0390,False,0.0000,0.0942,19102.00
6,6,36,3,True,0.2260,7,1400,7,,-0.0530,False,0.0000,0.2260,19093.60
6,6,36,4,True,0.2549,8,1600,8,,-0.0380,False,0.0000,0.2549,19107.40
6,6,36,5,True,0.1594,5,1000,5,,-0.0970,False,0.0000,0.1594,19115.40
6,6,36,6,True,0.1856,6,1200,6,,-0.0620,False,0.0000,0.1856,19067.80
6,6,36,7,True,0.2516,8,1600,8,,-0.1220,False,0.0000,0.2516,19120.80
6,6,36,8,True,0.4775,15,3000,15,11,-0.1070,False,0.0000,0.4775,19101.20
6,6,36,9,True,0.1245,4,800,4,,-0.0600,False,0.0000,0.1245,19091.20
6,6,36,10,True,0.1987,6,1200,6,,-0.0340,False,0.0000,0.1987,19108.20
6,6,36,11,True,0.1877,6,1200,6,,-0.0730,False,0.0000,0.1877,19097.80
6,6,36,12,True,0.1886,6,1200,6,,-0.0910,False,0.0000,0.1886,19112.00
6,6,36,13,True,0.1974,6,1200,6,,-0.0280,False,0.0000,0.1974,19108.20
6,6,36,14,True,0.1668,5,1000,5,,-0.0630,False,0.0000,0.1668,19097.80
6,6,36,15,True,0.1633,5,1000,5,,-0.0520,False,0.0000,0.1633,19089.00
7,7,49,1,True,0.3746,9,1800,9,,-0.0870,False,0.0000,0.3746,19031.60
7,7,49,2,True,0.2800,7,1400,7,,-0.1060,False,0.0000,0.2800,19038.20
7,7,49,3,True,0.4387,10,2000,10,,-0.0860,False,0.0000,0.4387,19042.80
7,7,49,4,True,0.2043,5,1000,5,,-0.0770,False,0.0000,0.2043,18561.00
7,7,49,5,True,0.2064,5,1000,5,,-0.0670,False,0.0000,0.2064,19023.60
7,7,49,6,True,0.4998,12,2400,12,11,-0.1110,False,0.0000,0.4998,18548.20
7,7,49,7,True,0.1227,3,600,3,,-0.0260,False,0.0000,0.1227,19013.60
7,7,49,8,True,0.2956,7,1400,7,,-0.0810,False,0.0000,0.2956,19052.40
7,7,49,9,True,0.0846,2,400,2,,-0.0150,False,0.0000,0.0846,19024.80
7,7,49,10,True,0.4137,10,2000,10,,-0.1170,False,0.0000,0.4137,19058.20
7,7,49,11,True,0.3342,8,1600,8,,-0.0950,False,0.0000,0.3342,19047.40
7,7,49,12,True,0.6316,15,3000,15,11,-0.1040,False,0.0000,0.6316,19013.20
7,7,49,13,True,0.2828,7,1400,7,,-0.0780,False,0.0000,0.2828,19053.20
7,7,49,14,True,0.0439,1,200,1,,0.0000,False,0.0000,0.0439,19019.40
7,7,49,15,True,0.3324,8,1600,8,,-0.1150,False,0.0000,0.3324,19043.60
