board_size,num_colors,num_cells,run_number,ga_success,ga_time,ga_generations,ga_fitness_evals,ga_generations_to_solution,ga_convergence_generation,ga_diversity_loss,bt_used,bt_time,total_time,final_fitness
10,10,100,1,False,13.5348,211,42400,,11,-0.0380,True,0.0002,13.5350,31158.80
10,10,100,2,True,1.9457,28,5600,28,11,-0.1140,False,0.0000,1.9457,31590.20
10,10,100,3,False,21.7369,297,59600,,13,-0.0070,True,0.0001,21.7369,31480.20
10,10,100,4,True,0.3783,5,1000,5,,-0.0450,False,0.0000,0.3783,31529.60
10,10,100,5,True,0.1512,2,400,2,,-0.0100,False,0.0000,0.1512,31602.40
10,10,100,6,True,0.6423,9,1800,9,,-0.0830,False,0.0000,0.6423,31580.80
10,10,100,7,True,0.1498,2,400,2,,-0.0140,False,0.0000,0.1498,31590.40
10,10,100,8,True,1.1858,16,3200,16,11,-0.0760,False,0.0000,1.1858,31572.00
10,10,100,9,True,0.1083,1,200,1,,0.0000,False,0.0000,0.1083,31586.20
10,10,100,10,False,21.7633,300,60000,,14,-0.0250,True,0.0001,21.7635,31286.60
11,11,121,1,True,3.8690,44,8800,44,11,-0.0880,False,0.0000,3.8690,34645.40
11,11,121,2,True,0.1941,2,400,2,,-0.0120,False,0.0000,0.1941,34651.60
11,11,121,3,True,0.1238,1,200,1,,0.0000,False,0.0000,0.1238,34637.40
11,11,121,4,True,0.2558,15,3000,15,11,-0.0990,False,0.0000,0.2558,34660.40
11,11,121,5,False,27.0406,300,60000,,11,-0.0440,True,0.0002,27.0408,34458.60
11,11,121,6,True,7.2139,98,19600,98,11,-0.0240,False,0.0000,7.2139,34648.60
11,11,121,7,True,1.8331,21,4200,21,11,-0.1020,False,0.0000,1.8331,34656.80
11,11,121,8,True,2.6952,32,6400,32,12,-0.1070,False,0.0000,2.6952,34662.60
11,11,121,9,False,25.6033,299,60000,,11,-0.0140,True,0.0001,25.6034,34676.20
11,11,121,10,True,2.0601,24,4800,24,11,-0.0900,False,0.0000,2.0601,34628.80
12,12,144,1,True,0.7520,7,1400,7,,-0.0640,False,0.0000,0.7520,37756.00
12,12,144,2,True,3.0442,31,6200,31,14,-0.1280,False,0.0000,3.0442,37784.00
