board_size,num_colors,density,run_id,ga_success,ga_time,ga_generations,ga_fitness_evals,ga_generations_to_solution,final_fitness,bt_used,bt_time,bt_success,total_time,solved
4,4,0.2500,0,True,0.0344,2,400,2,12758.2000,False,0.0000,False,0.0344,True
4,4,0.2500,1,True,0.0770,4,800,4,12772.8000,False,0.0000,False,0.0770,True
4,4,0.2500,2,True,0.0495,3,600,3,12758.2000,False,0.0000,False,0.0495,True
4,4,0.2500,3,True,0.0747,4,800,4,12763.2000,False,0.0000,False,0.0747,True
4,4,0.2500,4,True,0.0971,6,1200,6,12772.8000,False,0.0000,False,0.0971,True
4,4,0.2500,5,True,0.0344,2,400,2,12763.2000,False,0.0000,False,0.0344,True
4,4,0.2500,6,True,0.1161,7,1400,7,12758.6000,False,0.0000,False,0.1161,True
4,4,0.2500,7,True,0.0169,1,200,1,12758.2000,False,0.0000,False,0.0169,True
4,4,0.2500,8,True,0.0671,4,800,4,12768.2000,False,0.0000,False,0.0671,True
4,4,0.2500,9,True,0.0334,2,400,2,12767.8000,False,0.0000,False,0.0334,True
4,4,0.2500,10,True,0.0331,2,400,2,12772.8000,False,0.0000,False,0.0331,True
4,4,0.2500,11,True,0.0486,3,600,3,12772.8000,False,0.0000,False,0.0486,True
4,4,0.2500,12,True,0.0168,1,200,1,12758.2000,False,0.0000,False,0.0168,True
4,4,0.2500,13,True,0.0653,4,800,4,12753.6000,False,0.0000,False,0.0653,True
4,4,0.2500,14,True,0.0490,3,600,3,12772.8000,False,0.0000,False,0.0490,True
4,5,0.3125,0,True,0.0665,4,800,4,15972.4000,False,0.0000,False,0.0665,True
4,5,0.3125,1,True,0.0825,5,1000,5,15972.4000,False,0.0000,False,0.0825,True
4,5,0.3125,2,True,0.0650,4,800,4,15967.8000,False,0.0000,False,0.0650,True
4,5,0.3125,3,True,0.1529,9,1800,9,15972.4000,False,0.0000,False,0.1529,True
4,5,0.3125,4,True,0.0494,3,600,3,15972.4000,False,0.0000,False,0.0494,True
4,5,0.3125,5,True,0.0332,2,400,2,15972.4000,False,0.0000,False,0.0332,True
4,5,0.3125,6,True,0.0663,4,800,4,15972.4000,False,0.0000,False,0.0663,True
4,5,0.3125,7,True,0.1354,8,1600,8,15972.4000,False,0.0000,False,0.1354,True
4,5,0.3125,8,True,0.0336,2,400,2,15967.4000,False,0.0000,False,0.0336,True
4,5,0.3125,9,True,0.0973,6,1200,6,15967.8000,False,0.0000,False,0.0973,True
4,5,0.3125,10,True,0.0331,2,400,2,15962.8000,False,0.0000,False,0.0331,True
4,5,0.3125,11,True,0.0498,3,600,3,15967.8000,False,0.0000,False,0.0498,True
4,5,0.3125,12,True,0.0338,2,400,2,15967.8000,False,0.0000,False,0.0338,True
4,5,0.3125,13,True,0.0332,2,400,2,15962.8000,False,0.0000,False,0.0332,True
4,5,0.3125,14,True,0.0817,5,1000,5,15972.4000,False,0.0000,False,0.0817,True
4,6,0.3750,0,True,0.0525,3,600,3,19172.0000,False,0.0000,False,0.0525,True
4,6,0.3750,1,True,0.0662,4,800,4,19172.0000,False,0.0000,False,0.0662,True
4,6,0.3750,2,True,0.0483,3,600,3,19172.0000,False,0.0000,False,0.0483,True
4,6,0.3750,3,True,0.0494,3,600,3,19172.0000,False,0.0000,False,0.0494,True
4,6,0.3750,4,True,0.0346,2,400,2,19172.0000,False,0.0000,False,0.0346,True
4,6,0.3750,5,True,0.0522,3,600,3,19172.0000,False,0.0000,False,0.0522,True
4,6,0.3750,6,True,0.0343,2,400,2,19172.0000,False,0.0000,False,0.0343,True
4,6,0.3750,7,True,0.0342,2,400,2,19172.0000,False,0.0000,False,0.0342,True
4,6,0.3750,8,True,0.0340,2,400,2,19172.0000,False,0.0000,False,0.0340,True
4,6,0.3750,9,True,0.0670,4,800,4,19172.0000,False,0.0000,False,0.0670,True
4,6,0.3750,10,True,0.0681,4,800,4,19172.0000,False,0.0000,False,0.0681,True
4,6,0.3750,11,True,0.0505,3,600,3,19172.0000,False,0.0000,False,0.0505,True
4,6,0.3750,12,True,0.0663,4,800,4,19167.4000,False,0.0000,False,0.0663,True
4,6,0.3750,13,True,0.0494,3,600,3,19172.0000,False,0.0000,False,0.0494,True
4,6,0.3750,14,True,0.0685,4,800,4,19172.0000,False,0.0000,False,0.0685,True
5,7,0.2800,0,True,0.0246,1,200,1,19124.6000,False,0.0000,False,0.0246,True
5,7,0.2800,1,True,0.1231,5,1000,5,19138.8000,False,0.0000,False,0.1231,True
5,7,0.2800,2,True,0.1572,6,1200,6,19148.0000,False,0.0000,False,0.1572,True
5,7,0.2800,3,True,0.2018,8,1600,8,19143.4000,False,0.0000,False,0.2018,True
5,7,0.2800,4,True,0.0626,2,400,2,19134.2000,False,0.0000,False,0.0626,True
5,7,0.2800,5,True,0.0542,2,400,2,19124.2000,False,0.0000,False,0.0542,True
5,7,0.2800,6,True,0.0500,2,400,2,19148.0000,False,0.0000,False,0.0500,True
5,7,0.2800,7,True,0.0976,4,800,4,19124.6000,False,0.0000,False,0.0976,True
5,7,0.2800,8,True,0.0255,1,200,1,19138.0000,False,0.0000,False,0.0255,True
5,7,0.2800,9,True,0.1415,6,1200,6,19138.4000,False,0.0000,False,0.1415,True
5,7,0.2800,10,True,0.2599,11,2200,11,19148.4000,False,0.0000,False,0.2599,True
5,7,0.2800,11,True,0.1217,5,1000,5,19148.4000,False,0.0000,False,0.1217,True
5,7,0.2800,12,True,0.0957,4,800,4,19134.2000,False,0.0000,False,0.0957,True
5,7,0.2800,13,True,0.1218,5,1000,5,19138.0000,False,0.0000,False,0.1218,True
5,7,0.2800,14,True,0.0478,2,400,2,19143.4000,False,0.0000,False,0.0478,True
5,8,0.3200,0,True,0.1861,8,1600,8,19143.0000,False,0.0000,False,0.1861,True
5,8,0.3200,1,True,0.0246,1,200,1,19143.4000,False,0.0000,False,0.0246,True
5,8,0.3200,2,True,0.0246,1,200,1,19138.8000,False,0.0000,False,0.0246,True
5,8,0.3200,3,True,0.2559,11,2200,11,19133.8000,False,0.0000,False,0.2559,True
5,8,0.3200,4,True,0.0249,1,200,1,19133.8000,False,0.0000,False,0.0249,True
