board_size,num_colors,num_cells,run_number,ga_success,ga_time,ga_generations,ga_fitness_evals,ga_generations_to_solution,ga_convergence_generation,ga_diversity_loss,bt_used,bt_time,total_time,final_fitness
4,4,16,1,True,0.0323,2,400,2,,-0.0180,False,0.0000,0.0323,12763.20
4,4,16,2,True,0.0634,4,800,4,,-0.0700,False,0.0000,0.0634,12772.80
4,4,16,3,True,0.0319,2,400,2,,-0.0100,False,0.0000,0.0319,12763.20
4,4,16,4,True,0.0362,2,400,2,,-0.0050,False,0.0000,0.0362,12758.60
4,4,16,5,True,0.0329,2,400,2,,-0.0100,False,0.0000,0.0329,12758.20
4,4,16,6,True,0.0494,3,600,3,,-0.0220,False,0.0000,0.0494,12768.20
4,4,16,7,True,0.0807,5,1000,5,,-0.0780,False,0.0000,0.0807,12772.80
4,4,16,8,True,0.0487,3,600,3,,-0.0470,False,0.0000,0.0487,12772.80
4,4,16,9,True,0.0628,4,800,4,,-0.0650,False,0.0000,0.0628,12767.80
4,4,16,10,True,0.0324,2,400,2,,-0.0170,False,0.0000,0.0324,12768.20
5,5,25,1,True,0.0475,2,400,2,,-0.0080,False,0.0000,0.0475,15929.60
5,5,25,2,True,0.1163,5,1000,5,,-0.0930,False,0.0000,0.1163,15953.40
5,5,25,3,True,0.0715,3,600,3,,-0.0170,False,0.0000,0.0715,15928.80
5,5,25,4,True,0.0731,3,600,3,,-0.0260,False,0.0000,0.0731,15934.60
5,5,25,5,True,0.0485,2,400,2,,-0.0180,False,0.0000,0.0485,15929.20
5,5,25,6,True,0.2139,9,1800,9,,-0.1010,False,0.0000,0.2139,15943.80
5,5,25,7,True,0.0942,4,800,4,,-0.0490,False,0.0000,0.0942,15943.80
5,5,25,8,True,0.2166,9,1800,9,,-0.0920,False,0.0000,0.2166,15943.40
5,5,25,9,True,0.0466,2,400,2,,-0.0090,False,0.0000,0.0466,15929.20
5,5,25,10,True,0.0241,1,200,1,,0.0000,False,0.0000,0.0241,15914.60
6,6,36,1,True,0.1947,6,1200,6,,-0.0920,False,0.0000,0.1947,18614.80
6,6,36,2,True,0.1637,5,1000,5,,-0.0800,False,0.0000,0.1637,19102.40
6,6,36,3,True,0.3330,10,2000,10,,-0.1160,False,0.0000,0.3330,19105.80
6,6,36,4,True,0.1641,5,1000,5,,-0.0330,False,0.0000,0.1641,19102.80
6,6,36,5,True,0.4154,13,2600,13,11,-0.0790,False,0.0000,0.4154,19101.20
6,6,36,6,True,0.2271,7,1400,7,,-0.0550,False,0.0000,0.2271,19107.00
6,6,36,7,True,0.2986,9,1800,9,,-0.0740,False,0.0000,0.2986,19126.20
6,6,36,8,True,0.2127,6,1200,6,,-0.0710,False,0.0000,0.2127,19097.80
6,6,36,9,True,0.4836,15,3000,15,11,-0.1200,False,0.0000,0.4836,19101.20
6,6,36,10,True,0.2317,7,1400,7,,-0.0580,False,0.0000,0.2317,19112.40
7,7,49,1,True,0.1281,3,600,3,,-0.0270,False,0.0000,0.1281,19029.40
7,7,49,2,True,0.4485,11,2200,11,,-0.0990,False,0.0000,0.4485,19042.40
7,7,49,3,True,0.3250,8,1600,8,,-0.0890,False,0.0000,0.3250,19017.40
7,7,49,4,True,0.0486,1,200,1,,0.0000,False,0.0000,0.0486,18976.80
7,7,49,5,True,0.2526,6,1200,6,,-0.0600,False,0.0000,0.2526,18543.40
7,7,49,6,True,0.0488,1,200,1,,0.0000,False,0.0000,0.0488,19013.60
7,7,49,7,True,0.2113,5,1000,5,,-0.0980,False,0.0000,0.2113,18553.60
7,7,49,8,True,0.5368,13,2600,13,11,-0.0910,False,0.0000,0.5368,19023.60
7,7,49,9,True,0.0832,2,400,2,,-0.0120,False,0.0000,0.0832,19029.40
7,7,49,10,True,0.1608,4,800,4,,-0.0510,False,0.0000,0.1608,19019.00
8,8,64,1,True,0.6908,38,3800,38,19,-0.0910,False,0.0000,0.6908,18485.00
8,8,64,2,True,0.4373,24,2400,24,13,-0.0810,False,0.0000,0.4373,17969.00
8,8,64,3,True,0.2983,16,1600,16,12,-0.0990,False,0.0000,0.2983,18950.80
8,8,64,4,True,0.2398,13,1300,13,,-0.0990,False,0.0000,0.2398,18475.20
8,8,64,5,True,0.6755,37,3700,37,11,-0.0920,False,0.0000,0.6755,18998.40
8,8,64,6,True,0.0767,4,400,4,,-0.0310,False,0.0000,0.0767,18929.80
8,8,64,7,True,0.1472,8,800,8,,-0.0860,False,0.0000,0.1472,16970.60
8,8,64,8,True,0.2601,15,1500,15,11,-0.0850,False,0.0000,0.2601,18975.40
8,8,64,9,True,0.1296,7,700,7,,-0.0840,False,0.0000,0.1296,18960.80
8,8,64,10,True,0.1806,10,1000,10,,-0.0770,False,0.0000,0.1806,18962.00
9,9,81,1,True,0.1086,7,525,7,,-0.0560,False,0.0000,0.1086,18863.00
9,9,81,2,True,0.2613,17,1275,17,14,-0.1140,False,0.0000,0.2613,18873.80
9,9,81,3,False,0.4587,30,2250,,14,-0.0770,True,1.0986,1.5573,13950.60
9,9,81,4,True,0.2843,19,1425,19,17,-0.0950,False,0.0000,0.2843,18866.80
9,9,81,5,False,0.4605,30,2250,,11,-0.1060,True,0.0064,0.4669,13923.80
9,9,81,6,False,0.4409,30,2250,,11,-0.0870,True,0.0033,0.4442,9131.40
9,9,81,7,False,0.4473,30,2250,,11,-0.0630,True,0.4383,0.8856,14035.40
9,9,81,8,True,0.0936,6,450,6,,-0.0660,False,0.0000,0.0936,18833.00
9,9,81,9,True,0.0906,6,450,6,,-0.0750,False,0.0000,0.0906,18838.00
9,9,81,10,True,0.1066,7,525,7,,-0.0610,False,0.0000,0.1066,18337.00
10,10,100,1,True,0.0978,9,450,9,,-0.0590,False,0.0000,0.0978,17777.40
10,10,100,2,False,0.1603,15,750,,15,-0.0990,True,0.4675,0.6278,8255.20
10,10,100,3,False,0.1586,15,750,,12,-0.0890,True,1.1242,1.2827,8645.80
10,10,100,4,False,0.0914,8,450,,,-0.0550,True,0.0198,0.1112,4358.40
10,10,100,5,False,0.1556,15,750,,,-0.1120,True,22.5758,22.7314,12991.80
10,10,100,6,False,0.1463,13,700,,11,-0.0600,True,1.3593,1.5056,13988.80
10,10,100,7,False,0.1563,15,750,,11,-0.0690,True,0.0591,0.2154,4309.40
10,10,100,8,True,0.0606,6,300,6,,-0.0590,False,0.0000,0.0606,18222.60
10,10,100,9,False,0.1639,15,750,,,-0.1560,True,0.0005,0.1644,13576.40
10,10,100,10,False,0.1603,15,750,,12,-0.0750,True,15.5307,15.6910,13673.40
