config_id,pop_size,generations,mut_rate,elite,tour_k,board_size,num_colors,run_number,success,time,generations_executed,generations_to_solution,fitness_evals,final_fitness,fitness_improvement,diversity_loss
pop200_gen1000_mut0.005_elite2_tour3,200,1000,0.0050,2,3,4,3,1,True,0.0453,4,4,800,9554.00,4736.40,-0.0120
pop200_gen1000_mut0.005_elite2_tour3,200,1000,0.0050,2,3,4,3,2,True,0.0232,2,2,400,9563.60,4683.40,-0.0030
pop200_gen1000_mut0.005_elite2_tour3,200,1000,0.0050,2,3,4,3,3,True,0.0135,1,1,200,9558.60,0.00,0.0000
pop200_gen1000_mut0.005_elite2_tour3,200,1000,0.0050,2,3,4,3,4,True,0.0133,1,1,200,9559.40,0.00,0.0000
pop200_gen1000_mut0.005_elite2_tour3,200,1000,0.0050,2,3,4,3,5,True,0.0348,3,3,600,9558.60,4736.40,-0.0040
pop200_gen1000_mut0.005_elite2_tour3,200,1000,0.0050,2,3,4,3,6,True,0.0947,8,8,1600,9559.00,4801.40,-0.0200
pop200_gen1000_mut0.005_elite2_tour3,200,1000,0.0050,2,3,4,3,7,True,0.0675,6,6,1200,9558.60,4736.40,-0.0350
pop200_gen1000_mut0.005_elite2_tour3,200,1000,0.0050,2,3,4,3,8,True,0.1010,8,8,1600,9559.00,4801.40,-0.0020
pop200_gen1000_mut0.005_elite2_tour3,200,1000,0.0050,2,3,4,3,9,True,0.0791,6,6,1200,9554.40,4688.40,-0.0710
pop200_gen1000_mut0.005_elite2_tour3,200,1000,0.0050,2,3,4,3,10,True,0.0143,1,1,200,9559.40,0.00,0.0000
pop200_gen1000_mut0.01_elite2_tour3,200,1000,0.0100,2,3,4,3,1,True,0.0251,2,2,400,9554.00,4683.40,-0.0060
pop200_gen1000_mut0.01_elite2_tour3,200,1000,0.0100,2,3,4,3,2,True,0.0610,5,5,1000,9559.00,4678.40,-0.0710
pop200_gen1000_mut0.01_elite2_tour3,200,1000,0.0100,2,3,4,3,3,True,0.0582,5,5,1000,9559.00,4801.40,-0.0400
pop200_gen1000_mut0.01_elite2_tour3,200,1000,0.0100,2,3,4,3,4,True,0.0241,2,2,400,9554.40,4623.40,-0.0030
pop200_gen1000_mut0.01_elite2_tour3,200,1000,0.0100,2,3,4,3,5,True,0.0133,1,1,200,9559.40,0.00,0.0000
pop200_gen1000_mut0.01_elite2_tour3,200,1000,0.0100,2,3,4,3,6,True,0.0133,1,1,200,9554.00,0.00,0.0000
pop200_gen1000_mut0.01_elite2_tour3,200,1000,0.0100,2,3,4,3,7,True,0.0134,1,1,200,9559.40,0.00,0.0000
pop200_gen1000_mut0.01_elite2_tour3,200,1000,0.0100,2,3,4,3,8,True,0.0238,2,2,400,9544.40,4663.40,-0.0060
pop200_gen1000_mut0.01_elite2_tour3,200,1000,0.0100,2,3,4,3,9,True,0.0134,1,1,200,9559.40,0.00,0.0000
